source_name,image_name,dextran_channel,num_timepoints,dextran_channel_index,image_shape,final_gel_intensity,final_vascular_intensity,initial_gel_intensity,initial_vascular_intensity,vascular_volume_um3,vasculature_volume_fraction,gel_volume_um3,vasculature_surface_area_um2,bleaching_coefficient,time_separation_s,p_um/s,p_cm/s,Intensity increase,intensity(t0),intensity(t1),intensity(t2)
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_ALB_TexasREd_dev3/P 2,Channel 3,3.0,3.0,"(3, 61, 512, 512)",45176026.0,30086471.0,20597056.0,31841206.0,53890590.509141535,0.13030228685976855,359690719.5958656,9186518.926949859,1.058323058227733,360.0,0.26323152568533137,2.6323152568533137e-05,False,31841206.0,31519354.0,30086471.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_ALB_TexasREd_dev3/P 2,Channel 0,3.0,0.0,"(3, 61, 512, 512)",7162996.0,6442412.0,5246866.0,6829059.0,53890590.509141535,0.13030228685976855,359690719.5958656,9186518.926949859,1.0600158760414577,360.0,0.16126816838173183,1.6126816838173182e-05,False,6829059.0,6532007.0,6442412.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_ALB_TexasREd_dev3/P 2,Channel1,3.0,1.0,"(3, 61, 512, 512)",22366774.0,22781903.0,13642873.0,26878249.0,53890590.509141535,0.13030228685976855,359690719.5958656,9186518.926949859,1.1798070161215242,360.0,0.10473694246794008,1.0473694246794008e-05,False,26878249.0,24395735.0,22781903.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_ALB_TexasREd_dev3/P 3,Channel 3,3.0,3.0,"(3, 61, 512, 512)",25641224.0,18679009.0,13828149.0,22369433.0,68320426.43649545,0.16519224821631587,345260883.66851175,15001340.253957685,1.197570652704327,360.0,0.1263394831089501,1.2633948310895011e-05,False,22369433.0,18368868.0,18679009.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_ALB_TexasREd_dev3/P 3,Channel 0,3.0,0.0,"(3, 61, 512, 512)",6085862.0,6856009.0,4927134.0,7331774.0,68320426.43649545,0.16519224821631587,345260883.66851175,15001340.253957685,1.069393870398945,360.0,0.04203491955207019,4.203491955207019e-06,False,7331774.0,6885841.0,6856009.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_ALB_TexasREd_dev3/P 3,Channel1,3.0,1.0,"(3, 61, 512, 512)",21525273.0,24232291.0,14452367.0,32356545.0,68320426.43649545,0.16519224821631587,345260883.66851175,15001340.253957685,1.335265617270773,360.0,0.051024668835081353,5.102466883508135e-06,False,32356545.0,29596055.0,24232291.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 1,Channel 3,3.0,3.0,"(3, 61, 512, 512)",31332283.0,21807134.0,15428761.0,27215989.0,51350784.44288691,0.12416127902358326,362230525.6621203,10291672.290509738,1.248031446956762,360.0,0.19636917386655375,1.9636917386655377e-05,False,27215989.0,25307310.0,21807134.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 1,Channel 0,3.0,0.0,"(3, 61, 512, 512)",5506715.0,4279935.0,4274797.0,4293936.0,51350784.44288691,0.12416127902358326,362230525.6621203,10291672.290509738,1.0032713113633736,360.0,6.38504265807211,0.000638504265807211,False,4293936.0,3894784.0,4279935.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 1,Channel1,3.0,1.0,"(3, 61, 512, 512)",6112141.0,1083856.0,7470568.0,1264657.0,51350784.44288691,0.12416127902358326,362230525.6621203,10291672.290509738,1.1668127500332148,360.0,0.0053381502171768735,5.338150217176874e-07,True,1264657.0,964640.0,1083856.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 2,Channel 3,3.0,3.0,"(3, 61, 512, 512)",40869995.0,37042906.0,16843352.0,34495972.0,62408737.21078379,0.15089834981889869,351172572.8942234,11788505.057528937,0.9312436772644134,360.0,0.09945472170930378,9.945472170930378e-06,True,34495972.0,30028698.0,37042906.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 2,Channel 0,3.0,0.0,"(3, 61, 512, 512)",5109530.0,5149907.0,3915586.0,5031550.0,62408737.21078379,0.15089834981889869,351172572.8942234,11788505.057528937,0.9770176432312273,360.0,0.07982321921841108,7.982321921841109e-06,False,5031550.0,5094133.0,5149907.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 2,Channel1,3.0,1.0,"(3, 61, 512, 512)",5480373.0,1225938.0,3397601.0,1052657.0,62408737.21078379,0.15089834981889869,351172572.8942234,11788505.057528937,0.858654352830241,360.0,-0.046161807769801014,-4.6161807769801015e-06,True,1052657.0,1393973.0,1225938.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 3,Channel 3,3.0,3.0,"(3, 61, 512, 512)",26921613.0,21492276.0,10631766.0,21999828.0,88446609.02058505,0.21385543026141265,325134701.0844221,22465927.711320676,1.0236155537924416,360.0,0.05985418347215486,5.985418347215486e-06,True,21999828.0,19525709.0,21492276.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 3,Channel 0,3.0,0.0,"(3, 61, 512, 512)",4327310.0,3661483.0,3258902.0,3427597.0,88446609.02058505,0.21385543026141265,325134701.0844221,22465927.711320676,0.9361226038738948,360.0,0.18873582316391954,1.8873582316391955e-05,False,3427597.0,3572938.0,3661483.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasReD_dev1/P 3,Channel1,3.0,1.0,"(3, 61, 512, 512)",5508638.0,1789211.0,4456752.0,1264646.0,88446609.02058505,0.21385543026141265,325134701.0844221,22465927.711320676,0.7068176978567648,360.0,0.007092226711107888,7.092226711107888e-07,True,1264646.0,1920033.0,1789211.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasREd_dev2/P 1,Channel 3,3.0,3.0,"(3, 54, 512, 512)",16140291.0,16553538.0,5401319.0,12939265.0,93630042.40914845,0.254924838282481,273654852.3855967,23690391.31097202,0.7816616000760683,360.0,0.03071194482433471,3.0711944824334712e-06,True,12939265.0,12173279.0,16553538.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasREd_dev2/P 1,Channel 0,3.0,0.0,"(3, 54, 512, 512)",2721108.0,2323399.0,2586148.0,2108678.0,93630042.40914845,0.254924838282481,273654852.3855967,23690391.31097202,0.9075832433430504,360.0,0.007830108962060527,7.830108962060527e-07,False,2108678.0,2160489.0,2323399.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasREd_dev2/P 1,Channel1,3.0,1.0,"(3, 54, 512, 512)",4755191.0,1653587.0,6344282.0,2173665.0,93630042.40914845,0.254924838282481,273654852.3855967,23690391.31097202,1.314515051218956,360.0,0.0007194403642209128,7.194403642209128e-08,False,2173665.0,2061726.0,1653587.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasREd_dev2/P 2,Channel 3,3.0,3.0,"(3, 54, 512, 512)",14562487.0,18612101.0,7970775.0,20302359.0,100821165.54877399,0.2745039803641183,266463729.24597114,24521941.129221097,1.090815002562043,360.0,0.019371762979256607,1.9371762979256606e-06,False,20302359.0,18629684.0,18612101.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasREd_dev2/P 2,Channel 0,3.0,0.0,"(3, 54, 512, 512)",4096203.0,5567346.0,3433690.0,5207881.0,100821165.54877399,0.2745039803641183,266463729.24597114,24521941.129221097,0.9354333285554733,360.0,0.006771758083617785,6.771758083617785e-07,False,5207881.0,5281351.0,5567346.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasREd_dev2/P 2,Channel1,3.0,1.0,"(3, 54, 512, 512)",4116800.0,1885217.0,4990686.0,1974160.0,100821165.54877399,0.2745039803641183,266463729.24597114,24521941.129221097,1.0471791841469709,360.0,0.00680087175188977,6.80087175188977e-07,False,1974160.0,2057449.0,1885217.0
20260309_stcolab_d5_vess_only_dcaatto488_txred594_albumin680,DCA_TexasREd_dev2/P 3,Channel 3,3.0,3.0,"(3, 54, 512, 512)",16344953.0,16250583.0,8083881.0,17311492.0,104268471.5894153,0.2838898987329307,263016423.20532984,27668454.746935055,1.065284365490149,360.0,0.026693242195008328,2.669324219500833e-06,False,17311492.0,15942192.0,16250583.0
