,label,cell_area_pixel,nuclear_area_pixel,filename,cell_type,treatment,timepoint,YAP_cell,YAP_nucleus,YAP_nucleus/cell,GFP_cell,GFP_nucleus,GFP_nucleus/cell,nuc/cell_area
8,18,72419.0,20291.0,M_NLS_1hrBleb_Composite_3.tif,M_LNS,blebbistatin,1hr,5890090.0,2167879.0,0.3680553268286223,269439.0,105702.0,0.3923040094418403,0.28018890070285424
9,19,172693.0,30622.0,M_NLS_1hrBleb_Composite_3.tif,M_LNS,blebbistatin,1hr,12422254.0,3097384.0,0.24934154461823113,488066.0,112727.0,0.23096671351825368,0.1773204472676947
10,22,120628.0,26476.0,M_NLS_1hrBleb_Composite_3.tif,M_LNS,blebbistatin,1hr,8546080.0,2688826.0,0.314626823058057,336271.0,82804.0,0.2462418703961983,0.21948469675365587
11,24,267555.0,28096.0,M_NLS_1hrBleb_Composite_3.tif,M_LNS,blebbistatin,1hr,15501781.0,3718652.0,0.23988546864389323,733786.0,127243.0,0.17340614293540624,0.10501018482181233
0,7,79732.0,25514.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,5298172.0,1808393.0,0.34132395097780893,1363898.0,512516.0,0.375772968359804,0.31999698991621933
1,8,82943.0,15142.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,5070790.0,925820.0,0.18257904586859247,1207523.0,217136.0,0.17981934919666126,0.1825591068565159
2,9,43142.0,11090.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,5128538.0,1200555.0,0.23409303002142132,405401.0,97669.0,0.24091948465839996,0.2570580872467665
3,10,76335.0,34610.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,8301314.0,3583298.0,0.431654314003783,1072809.0,492590.0,0.4591590861001352,0.45339621405646163
4,11,45298.0,11523.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,5291743.0,1256172.0,0.23738341034324606,428445.0,102157.0,0.23843667215161807,0.25438209192458827
5,12,51522.0,11208.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,3942220.0,849304.0,0.21543800193799434,838877.0,214583.0,0.25579792985145616,0.21753813904739722
6,13,97408.0,24259.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,6698355.0,2629634.0,0.3925790735187968,1731071.0,630241.0,0.364075765812032,0.24904525295663602
7,16,55061.0,19542.0,M_NLS_1hrBleb_Composite_4.tif,M_LNS,blebbistatin,1hr,6205048.0,2371115.0,0.3821267780684372,3657466.0,2893607.0,0.7911507584759503,0.35491545740179076
