gene_ID,n_cells,n_states,pct_cells_covered
000000000000000000,7516,1,35.76663176929666
100000000000000000,1151,2,41.243932616351
000100000000000000,594,3,44.07061958694204
000000100000000000,584,4,46.84971923479585
000010000000000000,359,5,48.55810412106215
200000000000000000,311,6,50.03806985818978
100100000000000000,255,7,51.25154658798896
100010000000000000,185,8,52.131912058627584
000000010000000000,175,9,52.96469020652898
100000100000000000,156,10,53.707052441229656
010000000000000000,149,11,54.41610355001428
000001000000000000,140,12,55.0823260683354
000000000010000000,135,13,55.724754925287904
000000200000000000,130,14,56.3433901208718
100000010000000000,115,15,56.890644332349865
200100000000000000,113,16,57.42838107928048
000100100000000000,108,17,57.94232416484249
100001000000000000,97,18,58.40392119539355
001000000000000000,92,19,58.841724564576
000000000000010000,91,20,59.27476920148472
000200000000000000,88,21,59.693537641572284
000000000000100000,78,22,60.06471875892262
100100100000000000,76,23,60.42638241172552
200010000000000000,72,24,60.76901113543352
000110000000000000,71,25,61.106881126867805
300000000000000000,70,26,61.439992386028365
100200000000000000,69,27,61.7683449129152
100110000000000000,68,28,62.091938707528314
000000000000000010,66,29,62.40601503759399
200000100000000000,65,30,62.715332635385934
000101000000000000,59,31,62.99609783953555
000000000000000001,56,32,63.262586846864
200000010000000000,51,33,63.505282192823834
100101000000000000,51,34,63.747977538783665
000000000100000000,51,35,63.9906728847435
200100100000000000,50,36,64.22860949842962
000000000000000100,50,37,64.46654611211574
000020000000000000,47,38,64.69020652898068
000010100000000000,45,39,64.90434948129818
200001000000000000,43,40,65.10897496906824
110000000000000000,42,41,65.30884172456457
000000000001000000,40,42,65.49919101551346
100100010000000000,39,43,65.68478157418863
001000100000000000,36,44,65.85609593604264
200110000000000000,36,45,66.02741029789664
100000000000100000,35,46,66.19396592747692
100000000100000000,35,47,66.3605215570572
010000100000000000,35,48,66.52707718663748
100000200000000000,35,49,66.69363281621776
001000000000010000,34,50,66.85542971352432
000200100000000000,31,51,67.0029504140097
000000100000010000,30,52,67.14571238222138
100010100000000000,30,53,67.28847435043305
100020000000000000,29,54,67.42647758637099
100000000001000000,29,55,67.56448082230894
000100010000000000,29,56,67.70248405824688
000000000000020000,28,57,67.83572856191111
300100000000000000,28,58,67.96897306557533
000011000000000000,28,59,68.10221756923956
100200100000000000,27,60,68.23070334063006
100000000010000000,27,61,68.35918911202056
001000100000010000,27,62,68.48767488341106
000000001000000000,27,63,68.61616065480156
000000000000001000,26,64,68.73988769391833
300000100000000000,26,65,68.86361473303512
000010010000000000,26,66,68.9873417721519
100010010000000000,25,67,69.10631007899495
200000200000000000,23,68,69.21576092129057
100001100000000000,23,69,69.32521176358618
100011000000000000,23,70,69.4346626058818
010100000000000000,23,71,69.5441134481774
100000020000000000,23,72,69.65356429047301
001000000000020000,23,73,69.76301513276863
200101000000000000,23,74,69.87246597506424
100000000000000010,23,75,69.98191681735986
000000100100000000,22,76,70.08660892738175
200200000000000000,22,77,70.19130103740363
100000000000000001,22,78,70.29599314742552
002000000000010000,22,79,70.40068525744742
100100200000000000,21,80,70.50061863519558
000000110000000000,21,81,70.60055201294375
000001100000000000,21,82,70.70048539069192
000000020000000000,21,83,70.80041876844008
200010100000000000,21,84,70.90035214618825
001000200000000000,20,85,70.9955267916627
002000000000020000,20,86,71.09070143713714
000110100000000000,19,87,71.18111735033787
000000100010000000,19,88,71.27153326353859
100210000000000000,19,89,71.36194917673932
100000000000000100,18,90,71.44760635766632
000100000000100000,18,91,71.53326353859332
000000100000100000,18,92,71.61892071952032
000100200000000000,18,93,71.70457790044732
000100000010000000,18,94,71.79023508137432
100110100000000000,17,95,71.8711335300276
100120000000000000,17,96,71.95203197868088
210000000000000000,17,97,72.03293042733416
100111000000000000,17,98,72.11382887598744
000201000000000000,17,99,72.19472732464071
200020000000000000,16,100,72.27086704102027
100201000000000000,16,101,72.34700675739983
200000000100000000,16,102,72.42314647377938
000000300000000000,16,103,72.49928619015894
300010000000000000,16,104,72.5754259065385
200010010000000000,16,105,72.65156562291806
002000000000000000,15,106,72.72294660702389
101000000000000000,15,107,72.79432759112973
300001000000000000,15,108,72.86570857523556
300101000000000000,15,109,72.93708955934139
200100010000000000,15,110,73.00847054344723
000000100000000100,14,111,73.07509279527933
200000020000000000,14,112,73.14171504711145
300010100000000000,14,113,73.20833729894356
020000000000000000,14,114,73.27495955077568
000100000000000010,14,115,73.34158180260779
000100000100000000,14,116,73.40820405443989
000101010000000000,13,117,73.47006757399829
000010000000100000,13,118,73.53193109355668
000000010001000000,13,119,73.59379461311507
200011000000000000,13,120,73.65565813267345
000000100000000010,13,121,73.71752165223185
200000000010000000,13,122,73.77938517179024
110000100000000000,13,123,73.84124869134862
100000010001000000,13,124,73.90311221090701
200000000000100000,13,125,73.9649757304654
010010000000000000,12,126,74.02208051775007
100000110000000000,12,127,74.07918530503474
100000001000000000,12,128,74.1362900923194
010000010000000000,12,129,74.19339487960407
200000000000000010,12,130,74.25049966688874
000000100000000001,12,131,74.30760445417341
002000100000010000,12,132,74.36470924145807
000200200000000000,12,133,74.42181402874274
200110100000000000,12,134,74.47891881602742
100100110000000000,11,135,74.53126487103836
200010000000100000,11,136,74.5836109260493
100101010000000000,11,137,74.63595698106025
000200000000000010,11,138,74.68830303607119
100100000000000010,11,139,74.74064909108213
100101100000000000,11,140,74.79299514609308
100010000100000000,11,141,74.84534120110402
100100000001000000,11,142,74.89768725611498
000000000000000200,11,143,74.95003331112592
000010000100000000,11,144,75.00237936613686
000100001000000000,11,145,75.05472542114781
300000200000000000,11,146,75.10707147615875
300100100000000000,11,147,75.1594175311697
