cluster_id,n_states,n_cells,mean_nn_hamming,pct_cells_retained
20,34,13358,0.05555555555555555,68.52013336753014
15,31,997,0.05555555555555555,5.114131828674019
19,21,687,0.055555555555555546,3.5239805078225186
9,32,673,0.05555555555555555,3.452167222364709
3,28,658,0.055555555555555546,3.3752244165170557
17,33,449,0.05555555555555555,2.3031546550397537
1,33,439,0.05555555555555555,2.251859451141318
6,41,438,0.05555555555555555,2.2467299307514748
10,37,354,0.05555555555555555,1.8158502180046165
18,23,284,0.05555555555555555,1.456783790715568
16,26,231,0.05555555555555555,1.18491921005386
12,32,221,0.05555555555555555,1.1336240061554244
2,19,210,0.05555555555555556,1.0771992818671454
14,17,143,0.05555555555555555,0.7335214157476276
13,19,137,0.05555555555555556,0.7027442934085663
8,17,106,0.05555555555555555,0.5437291613234163
5,15,77,0.05555555555555555,0.39497307001795334
4,6,21,0.06481481481481481,0.10771992818671454
7,3,9,0.05555555555555555,0.046165683508591945
11,1,3,0.1111111111111111,0.015388561169530648
