cluster_id,n_states,n_cells,mean_nn_hamming,pct_cells_retained
17,54,12261,0.05555555555555555,65.19381081512203
14,33,1097,0.05555555555555555,5.832934545647897
11,43,1032,0.05555555555555555,5.487318551603127
10,31,754,0.05555555555555555,4.009145530919339
1,29,666,0.05555555555555555,3.541234646674111
8,38,589,0.05555555555555556,3.1318126229595364
7,40,367,0.05555555555555556,1.9514010740681662
13,23,339,0.05555555555555555,1.8025203381719572
4,36,334,0.05555555555555555,1.7759344924762057
12,20,310,0.05555555555555556,1.648322433136598
5,28,298,0.055555555555555546,1.5845164034667942
16,18,187,0.05555555555555555,0.9943106290211091
3,13,174,0.05555555555555555,0.9251874302121551
9,24,165,0.05555555555555555,0.8773329079598022
15,17,111,0.05555555555555555,0.5902057744456851
6,15,74,0.05555555555555555,0.39347051629712343
2,7,49,0.055555555555555546,0.2605412878183655
