gene_ID,n_cells,cluster_id,nearest_neighbor_hamming
000000000000000000,7516,20,0.05555555555555555
100000000000000000,1545,20,0.05555555555555555
000000100000000000,734,20,0.05555555555555555
000100000000000000,685,20,0.05555555555555555
100100000000000000,505,20,0.05555555555555555
000010000000000000,408,20,0.05555555555555555
100000100000000000,341,20,0.05555555555555555
100010000000000000,327,20,0.05555555555555555
100100100000000000,269,20,0.05555555555555555
100000010000000000,221,19,0.05555555555555555
000000010000000000,197,19,0.05555555555555555
100110000000000000,184,20,0.05555555555555555
000100100000000000,176,20,0.05555555555555555
100001000000000000,175,15,0.05555555555555555
010000000000000000,165,9,0.05555555555555555
100101000000000000,149,15,0.05555555555555555
000001000000000000,148,15,0.05555555555555555
000000000010000000,139,1,0.05555555555555555
000000000000010000,120,3,0.05555555555555555
001000000000000000,108,3,0.05555555555555555
001000000000010000,102,3,0.05555555555555555
100100010000000000,99,19,0.05555555555555555
100010100000000000,93,20,0.05555555555555555
000110000000000000,90,20,0.05555555555555555
000101000000000000,84,15,0.05555555555555555
000000000000100000,84,17,0.05555555555555555
001000100000000000,79,3,0.05555555555555555
100111000000000000,75,15,0.05555555555555555
110000000000000000,74,9,0.05555555555555555
100110100000000000,71,20,0.05555555555555555
100011000000000000,68,15,0.05555555555555555
000000000000000010,67,18,0.05555555555555555
000000000000000001,64,16,0.05555555555555555
000000000000000100,61,2,0.05555555555555555
100010010000000000,60,20,0.05555555555555555
001000100000010000,60,3,0.05555555555555555
100000000100000000,59,6,0.05555555555555555
000000000100000000,58,6,0.05555555555555555
110000100000000000,57,9,0.05555555555555555
100000000000100000,55,17,0.05555555555555555
010000100000000000,52,9,0.05555555555555555
000010100000000000,52,20,0.05555555555555555
100000000001000000,49,10,0.05555555555555555
100000110000000000,49,20,0.05555555555555555
000100010000000000,46,19,0.05555555555555555
100000000010000000,44,1,0.05555555555555555
000000000001000000,43,10,0.05555555555555555
000000100000010000,42,3,0.05555555555555555
100101100000000000,38,15,0.05555555555555555
