gene_ID,n_cells,n_states,pct_cells_covered
000000000000000000,7516,1,35.76663176929666
100000000000000000,1462,2,42.72389835347863
000000100000000000,714,3,46.12163319691634
000100000000000000,682,4,49.36708860759494
100100000000000000,459,5,51.551346721233465
000010000000000000,406,6,53.48339202436471
100010000000000000,302,7,54.92052917102884
100000100000000000,279,8,56.24821547539735
100100100000000000,204,9,57.2189968592367
100000010000000000,203,10,58.18501951080232
000000010000000000,196,11,59.117731036451886
000100100000000000,169,12,59.92195679071096
010000000000000000,163,13,60.69763015132769
100110000000000000,162,14,61.468544779670694
100001000000000000,153,15,62.19663081755021
000001000000000000,147,16,62.89616446178738
000000000010000000,139,17,63.55762824783478
000000000000010000,119,18,64.12391738840773
100101000000000000,116,19,64.67593033215951
001000000000000000,107,20,65.1851146854478
001000000000010000,99,21,65.6562291805463
000110000000000000,89,22,66.07975635290758
000000000000100000,84,23,66.47948986390026
000101000000000000,82,24,66.86970591034549
100100010000000000,79,25,67.24564575996955
001000100000000000,73,26,67.59303321595127
300000000000000000,70,27,67.92614447511183
100010100000000000,67,28,68.24497953745123
000000000000000010,67,29,68.56381459979062
000000000000000001,64,30,68.86837346530884
110000000000000000,64,31,69.17293233082707
000000000000000100,61,32,69.46321499952413
100011000000000000,59,33,69.74398020367374
000000000100000000,58,34,70.01998667554963
100111000000000000,57,35,70.2912344151518
001000100000010000,55,36,70.55296469020652
100000000000100000,53,37,70.80517750071381
100010010000000000,53,38,71.05739031122108
100000000100000000,53,39,71.30960312172837
100110100000000000,52,40,71.55705719996193
000010100000000000,51,41,71.79975254592176
010000100000000000,47,42,72.02341296278671
000100010000000000,46,43,72.24231464737794
000000000001000000,43,44,72.446940135148
000000100000010000,42,45,72.64680689064433
100000000001000000,42,46,72.84667364614067
100000000010000000,41,47,73.04178166936329
100000110000000000,38,48,73.22261349576473
300000100000000000,37,49,73.39868658989245
100000000000000010,35,50,73.56524221947274
000011000000000000,34,51,73.7270391167793
300100000000000000,34,52,73.88883601408585
100000000000000001,33,53,74.04587417911868
100100000001000000,31,54,74.19339487960407
100010000000100000,31,55,74.34091558008946
100001100000000000,31,56,74.48843628057486
000000100010000000,31,57,74.63595698106025
010100000000000000,30,58,74.77871894927192
000010010000000000,29,59,74.91672218520986
100110010000000000,29,60,75.05472542114781
000000001000000000,28,61,75.18796992481202
000110100000000000,28,62,75.32121442847625
100100110000000000,28,63,75.45445893214048
000100000000000010,27,64,75.58294470353098
000000000000001000,26,65,75.70667174264776
100100000000000010,26,66,75.83039878176454
000000110000000000,26,67,75.95412582088132
000000100100000000,26,68,76.0778528599981
110000100000000000,25,69,76.19682116684115
100000010001000000,24,70,76.31103074141049
110100100000000000,24,71,76.42524031597982
100101010000000000,24,72,76.53944989054916
000001100000000000,24,73,76.6536594651185
000100000000100000,23,74,76.76311030741411
100101100000000000,23,75,76.87256114970971
000100000010000000,22,76,76.97725325973161
110100000000000000,22,77,77.0819453697535
000000100000100000,22,78,77.18663747977538
100100000000100000,22,79,77.29132958979727
300101000000000000,21,80,77.39126296754544
300100100000000000,21,81,77.49119634529362
100000000000000100,20,82,77.58637099076806
100010000100000000,20,83,77.6815456362425
000000100000000100,19,84,77.77196154944323
101000000000000000,19,85,77.86237746264395
000111000000000000,19,86,77.95279337584468
001000100010000000,19,87,78.0432092890454
000010000000100000,19,88,78.13362520224612
300010100000000000,18,89,78.21928238317312
300010000000000000,18,90,78.30493956410012
100100000100000000,18,91,78.39059674502712
000100000100000000,18,92,78.47625392595413
000101010000000000,17,93,78.5571523746074
001000000010010000,17,94,78.63805082326068
000000010001000000,17,95,78.71894927191396
100001010000000000,17,96,78.79984772056724
100000100100000000,17,97,78.88074616922052
300001000000000000,17,98,78.9616446178738
100110000000100000,16,99,79.03778433425336
000000300000000000,16,100,79.11392405063292
100000100000100000,16,101,79.19006376701246
100000100010000000,16,102,79.26620348339202
100000001000000000,16,103,79.34234319977158
000110010000000000,16,104,79.41848291615113
110000010000000000,16,105,79.49462263253069
