niche,"mod 0: DLL4, MMP1, SEMA3F","mod 1: KDR, VEGFA, ITGA6","mod 2: ICAM1, JAG1","mod 3: ANGPT2, APLN","mod 4: PDGFB, PDGFRB"
0,0.04848550882545217,0.13525096244642987,0.02527783830899978,0.01503595554587056,0.021464371322728264
1,0.09794022617124394,0.2392299407646742,0.024434571890145397,0.022819063004846526,0.02079967689822294
2,0.06502669717772692,0.1970505975082634,0.036613272311212815,0.041571319603356215,0.062166285278413426
3,0.1407014681892333,0.2914627514953779,0.04377379010331702,0.0464926590538336,0.04567699836867863
4,0.0850612629594722,0.2290292177191329,0.04241281809613572,0.06597549481621112,0.06974552309142319
5,0.08709768492377189,0.17259552042160736,0.05307735742518351,0.03162055335968379,0.08074534161490683
