niche,"Endo c0 (FLT1, SEMA3F) n=971","Endo c1 (KDR, VEGFA) n=5254","Endo c2 (MMP1, DLL4) n=823","Endo c3 (PDGFB, ANGPT2) n=277",Fibr c4 (VEGFA) n=796,"Fibr c5 (DLL4, SEMA3F) n=38"
0,0.03639137066899106,0.361952495096971,0.03312268468075834,0.008062758770974069,0.05055567661799956,0.0006537371976465461
1,0.0912762520193861,0.45193861066235863,0.08481421647819062,0.01050080775444265,0.03917609046849758,0.0036348949919224557
2,0.057971014492753624,0.3882532418001526,0.05491990846681922,0.02745995423340961,0.10755148741418764,0.004576659038901602
3,0.14845024469820556,0.38771071234366505,0.14138118542686243,0.03317020119630234,0.06470908102229472,0.0038064165307232192
4,0.06786050895381715,0.40999057492931196,0.08105560791705937,0.03958529688972667,0.11687087653157399,0.00471253534401508
5,0.08865047995482778,0.4613212874082439,0.024280067758328628,0.042348955392433656,0.04686617730095991,0.004517221908526256
