,"Endo c0 (ANGPT2, PDGFB) n=1991",Endo c1 (KDR) n=11461,"Endo c2 (FLT1, SEMA3F) n=1311","Fibr c3 (JAG1, VEGFA) n=2818","Fibr c4 (DLL4, PECAM1) n=93",unknown,no reads
"Endo c0 (ANGPT2, PDGFB) n=1991",6.052273215761334,2.8668653455785615,6.696156037384871,-0.062133624247218966,2.8840907021637157,-0.7495632942309247,-14.328068888588726
Endo c1 (KDR) n=11461,2.8668653455785615,13.174846714175708,6.6877765315347055,-6.669232513292968,0.5649373194704168,-5.1191457217781595,-14.108572858320194
"Endo c2 (FLT1, SEMA3F) n=1311",6.696156037384871,6.6877765315347055,6.288587806185851,-0.8221131537466954,4.192147078403902,-1.7531296734567463,-9.194376601234731
"Fibr c3 (JAG1, VEGFA) n=2818",-0.062133624247218966,-6.669232513292968,-0.8221131537466954,-1.9334313099643519,4.09139547744453,-7.739125486207059,-12.329371257623517
"Fibr c4 (DLL4, PECAM1) n=93",2.8840907021637157,0.5649373194704168,4.192147078403902,4.09139547744453,10.593206961909345,2.417275494703159,0.13107806898832147
unknown,-0.7495632942309247,-5.1191457217781595,-1.7531296734567463,-7.739125486207059,2.417275494703159,3.7462310568036212,-1.5180636825198923
no reads,-14.328068888588726,-14.108572858320194,-9.194376601234731,-12.329371257623517,0.13107806898832147,-1.5180636825198923,28.870134956489604
