gene,module,on_freq
MMP1,0,0.12300341296928327
COL1A1,1,0.004368600682593857
KDR,2,0.4764505119453925
VEGFA,2,0.36505119453924917
DLL4,0,0.16737201365187712
ITGA6,2,0.03126279863481229
SEMA3F,0,0.10866894197952219
JAG1,0,0.03372013651877133
FLT1,0,0.09761092150170649
PDGFB,1,0.1131740614334471
COL1A2,3,0.0021843003412969283
APLN,1,0.029897610921501706
PDGFRB,1,0.0034129692832764505
ANGPT2,1,0.05515358361774744
ICAM1,0,0.04136518771331058
