state_code,binary_state,n_cells,pct_all_cells,pct_expressed_cells,cluster_id,nearest_neighbor_hamming
1,100000000000000000,1545,7.352241362900923,11.446140168913914,21,0.05555555555555555
7,000000100000000000,734,3.492909488912154,5.437842643354571,16,0.05555555555555555
4,000100000000000000,685,3.259731607499762,5.074825900133353,3,0.05555555555555555
1_4,100100000000000000,505,2.4031597982297517,3.7412950066676545,21,0.05555555555555555
5,000010000000000000,408,1.9415627676786904,3.022670025188917,17,0.05555555555555555
1_7,100000100000000000,341,1.6227277053392977,2.5263001926211293,16,0.05555555555555555
1_5,100010000000000000,327,1.5561054535071857,2.4225811231293526,17,0.05555555555555555
1_4_7,100100100000000000,269,1.2800989816312933,1.9928878352348496,18,0.05555555555555555
1_8,100000010000000000,221,1.051679832492624,1.63727959697733,19,0.05555555555555555
8,000000010000000000,197,0.9374702579232892,1.4594754778485701,19,0.05555555555555555
1_4_5,100110000000000000,184,0.8756067383648996,1.363164913320492,17,0.05555555555555555
4_7,000100100000000000,176,0.8375368801751214,1.3038968736109053,3,0.05555555555555555
1_6,100001000000000000,175,0.832778147901399,1.296488368647207,21,0.05555555555555555
2,010000000000000000,165,0.7851908251641763,1.2224033190102237,4,0.05555555555555555
1_4_6,100101000000000000,149,0.7090511087846197,1.1038672395910505,21,0.05555555555555555
6,000001000000000000,148,0.7042923765108975,1.0964587346273522,21,0.05555555555555555
11,000000000010000000,139,0.661463786047397,1.0297821899540673,14,0.05555555555555555
14,000000000000010000,120,0.5710478728466737,0.8890205956437991,2,0.05555555555555555
3,001000000000000000,108,0.5139430855620063,0.8001185360794192,2,0.05555555555555555
3_14,001000000000010000,102,0.4853906919196726,0.7556675062972292,2,0.05555555555555555
1_4_8,100100010000000000,99,0.4711144950985058,0.7334419914061342,19,0.05555555555555555
1_5_7,100010100000000000,93,0.4425621014561721,0.6889909616239442,16,0.05555555555555555
4_5,000110000000000000,90,0.4282859046350052,0.6667654467328493,17,0.05555555555555555
4_6,000101000000000000,84,0.39973351099267157,0.6223144169506594,21,0.05555555555555555
13,000000000000100000,84,0.39973351099267157,0.6223144169506594,17,0.05555555555555555
3_7,001000100000000000,79,0.37593984962406013,0.5852718921321677,2,0.05555555555555555
1_4_5_6,100111000000000000,75,0.35690492052917105,0.5556378722773744,17,0.05555555555555555
1_2,110000000000000000,74,0.35214618825544874,0.5482293673136761,4,0.05555555555555555
1_4_5_7,100110100000000000,71,0.3378699914342819,0.5260038524225811,18,0.05555555555555555
1_5_6,100011000000000000,68,0.32359379461311505,0.5037783375314862,17,0.05555555555555555
17,000000000000000010,67,0.3188350623393928,0.4963698325677878,13,0.05555555555555555
18,000000000000000001,64,0.3045588655182259,0.47414431767669285,15,0.05555555555555555
16,000000000000000100,61,0.2902826686970591,0.4519188027855979,1,0.05555555555555555
1_5_8,100010010000000000,60,0.28552393642333684,0.44451029782189955,19,0.05555555555555555
3_7_14,001000100000010000,60,0.28552393642333684,0.44451029782189955,2,0.05555555555555555
1_10,100000000100000000,59,0.28076520414961453,0.4371017928582012,10,0.05555555555555555
10,000000000100000000,58,0.2760064718758923,0.4296932878945029,10,0.05555555555555555
1_2_7,110000100000000000,57,0.27124773960216997,0.42228478293080457,4,0.05555555555555555
1_13,100000000000100000,55,0.2617302750547254,0.4074677730034079,17,0.05555555555555555
2_7,010000100000000000,52,0.24745407823355858,0.38524225811231294,4,0.05555555555555555
5_7,000010100000000000,52,0.24745407823355858,0.38524225811231294,16,0.05555555555555555
1_7_8,100000110000000000,49,0.23317788141239174,0.36301674322121796,19,0.05555555555555555
1_12,100000000001000000,49,0.23317788141239174,0.36301674322121796,8,0.05555555555555555
4_8,000100010000000000,46,0.2189016845912249,0.340791228330123,19,0.05555555555555555
1_11,100000000010000000,44,0.20938422004378035,0.32597421840272633,14,0.05555555555555555
12,000000000001000000,43,0.20462548777005807,0.318565713439028,8,0.05555555555555555
7_14,000000100000010000,42,0.19986675549633579,0.3111572084753297,2,0.05555555555555555
1_4_6_7,100101100000000000,38,0.18083182640144665,0.2815231886205364,17,0.05555555555555555
1_6_7,100001100000000000,37,0.17607309412772437,0.27411468365683805,16,0.05555555555555555
1_17,100000000000000010,37,0.17607309412772437,0.27411468365683805,13,0.05555555555555555
1_2_4_7,110100100000000000,36,0.1713143618540021,0.26670617869313973,3,0.05555555555555555
1_18,100000000000000001,36,0.1713143618540021,0.26670617869313973,15,0.05555555555555555
1_4_5_8,100110010000000000,35,0.1665556295802798,0.2592976737294414,19,0.05555555555555555
5_6,000011000000000000,35,0.1665556295802798,0.2592976737294414,17,0.05555555555555555
1_5_13,100010000000100000,34,0.16179689730655752,0.2518891687657431,17,0.05555555555555555
1_4_12,100100000001000000,34,0.16179689730655752,0.2518891687657431,8,0.05555555555555555
1_4_7_8,100100110000000000,34,0.16179689730655752,0.2518891687657431,19,0.05555555555555555
4_5_7,000110100000000000,32,0.15227943275911296,0.23707215883834643,17,0.05555555555555555
7_11,000000100010000000,32,0.15227943275911296,0.23707215883834643,14,0.05555555555555555
1_4_6_8,100101010000000000,31,0.1475207004853907,0.2296636538746481,21,0.05555555555555555
2_4,010100000000000000,30,0.14276196821166842,0.22225514891094977,3,0.05555555555555555
1_2_4,110100000000000000,30,0.14276196821166842,0.22225514891094977,3,0.05555555555555555
5_8,000010010000000000,29,0.13800323593794614,0.21484664394725145,19,0.05555555555555555
1_4_17,100100000000000010,29,0.13800323593794614,0.21484664394725145,13,0.05555555555555555
7_10,000000100100000000,28,0.13324450366422386,0.20743813898355312,10,0.05555555555555555
9,000000001000000000,28,0.13324450366422386,0.20743813898355312,12,0.05555555555555555
4_17,000100000000000010,27,0.12848577139050157,0.2000296340198548,13,0.05555555555555555
7_8,000000110000000000,27,0.12848577139050157,0.2000296340198548,19,0.05555555555555555
1_8_12,100000010001000000,27,0.12848577139050157,0.2000296340198548,8,0.05555555555555555
15,000000000000001000,26,0.12372703911677929,0.19262112905615647,20,0.05555555555555555
1_2_7_8,110000110000000000,26,0.12372703911677929,0.19262112905615647,3,0.05555555555555555
1_4_13,100100000000100000,25,0.11896830684305701,0.18521262409245814,17,0.05555555555555555
1_7_10,100000100100000000,24,0.11420957456933473,0.17780411912875982,10,0.05555555555555555
6_7,000001100000000000,24,0.11420957456933473,0.17780411912875982,16,0.05555555555555555
4_13,000100000000100000,23,0.10945084229561244,0.1703956141650615,17,0.05555555555555555
4_11,000100000010000000,22,0.10469211002189018,0.16298710920136317,14,0.05555555555555555
7_13,000000100000100000,22,0.10469211002189018,0.16298710920136317,17,0.05555555555555555
3_7_11,001000100010000000,22,0.10469211002189018,0.16298710920136317,2,0.05555555555555555
1_5_10,100010000100000000,22,0.10469211002189018,0.16298710920136317,10,0.05555555555555555
1_7_13,100000100000100000,21,0.09993337774816789,0.15557860423766484,17,0.05555555555555555
1_2_8,110000010000000000,21,0.09993337774816789,0.15557860423766484,3,0.05555555555555555
1_6_8,100001010000000000,21,0.09993337774816789,0.15557860423766484,21,0.05555555555555555
1_4_7_10,100100100100000000,21,0.09993337774816789,0.15557860423766484,10,0.05555555555555555
1_4_10,100100000100000000,20,0.09517464547444561,0.14817009927396652,10,0.05555555555555555
1_16,100000000000000100,20,0.09517464547444561,0.14817009927396652,1,0.05555555555555555
7_16,000000100000000100,19,0.09041591320072333,0.1407615943102682,1,0.05555555555555555
1_3,101000000000000000,19,0.09041591320072333,0.1407615943102682,2,0.05555555555555555
4_10,000100000100000000,19,0.09041591320072333,0.1407615943102682,10,0.05555555555555555
