gene_ID,n_cells,cluster_id,nearest_neighbor_hamming
000000000000000000,7516,17,0.05555555555555555
100000000000000000,1462,17,0.05555555555555555
000000100000000000,714,17,0.05555555555555555
000100000000000000,682,17,0.05555555555555555
100100000000000000,459,17,0.05555555555555555
000010000000000000,406,14,0.05555555555555555
100010000000000000,302,14,0.05555555555555555
100000100000000000,279,17,0.05555555555555555
100100100000000000,204,17,0.05555555555555555
100000010000000000,203,10,0.05555555555555555
000000010000000000,196,10,0.05555555555555555
000100100000000000,169,17,0.05555555555555555
010000000000000000,163,8,0.05555555555555555
100110000000000000,162,17,0.05555555555555555
100001000000000000,153,11,0.05555555555555555
000001000000000000,147,11,0.05555555555555555
000000000010000000,139,12,0.05555555555555555
000000000000010000,119,1,0.05555555555555555
100101000000000000,116,11,0.05555555555555555
001000000000000000,107,1,0.05555555555555555
001000000000010000,99,1,0.05555555555555555
000110000000000000,89,17,0.05555555555555555
000000000000100000,84,13,0.05555555555555555
000101000000000000,82,11,0.05555555555555555
100100010000000000,79,10,0.05555555555555555
001000100000000000,73,1,0.05555555555555555
300000000000000000,70,17,0.05555555555555555
000000000000000010,67,7,0.05555555555555555
100010100000000000,67,14,0.05555555555555555
000000000000000001,64,16,0.05555555555555555
110000000000000000,64,8,0.05555555555555555
000000000000000100,61,3,0.05555555555555555
100011000000000000,59,11,0.05555555555555555
000000000100000000,58,5,0.05555555555555555
100111000000000000,57,11,0.05555555555555555
001000100000010000,55,1,0.05555555555555555
100000000000100000,53,13,0.05555555555555555
100000000100000000,53,5,0.05555555555555555
100010010000000000,53,11,0.05555555555555555
100110100000000000,52,14,0.05555555555555555
000010100000000000,51,14,0.05555555555555555
010000100000000000,47,8,0.05555555555555555
000100010000000000,46,10,0.05555555555555555
000000000001000000,43,4,0.05555555555555555
000000100000010000,42,1,0.05555555555555555
100000000001000000,42,4,0.05555555555555555
100000000010000000,41,12,0.05555555555555555
100000110000000000,38,10,0.05555555555555555
300000100000000000,37,17,0.05555555555555555
100000000000000010,35,7,0.05555555555555555
000011000000000000,34,11,0.05555555555555555
300100000000000000,34,17,0.05555555555555555
100000000000000001,33,16,0.05555555555555555
000000100010000000,31,1,0.05555555555555555
100010000000100000,31,13,0.05555555555555555
100100000001000000,31,4,0.05555555555555555
100001100000000000,31,17,0.05555555555555555
010100000000000000,30,8,0.05555555555555555
100110010000000000,29,11,0.05555555555555555
000010010000000000,29,11,0.05555555555555555
100100110000000000,28,10,0.05555555555555555
000000001000000000,28,9,0.05555555555555555
000110100000000000,28,14,0.05555555555555555
000100000000000010,27,7,0.05555555555555555
000000110000000000,26,10,0.05555555555555555
000000100100000000,26,17,0.05555555555555555
100100000000000010,26,7,0.05555555555555555
000000000000001000,26,15,0.05555555555555555
110000100000000000,25,8,0.05555555555555555
110100100000000000,24,8,0.05555555555555555
000001100000000000,24,17,0.05555555555555555
100000010001000000,24,4,0.05555555555555555
100101010000000000,24,11,0.05555555555555555
