,filename,image_shape,final_gel_intensity,final_vascular_intensity,initial_gel_intensity,initial_vascular_intensity,vascular_volume_um3,gel_volume_um3,vasculature_surface_area_um2,p_um/s,p_cm/s,bead,rln,mcl,ligand
0,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 2,"(3, 36, 512, 512)",15246285.0,116276721.0,11906772.0,124558040.0,73423138.73960783,170404648.56110537,5396960.422547679,0.0026000204139658,2.600020413965831e-07,False,True,False,unknown
1,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 1,"(3, 42, 512, 512)",17222645.0,88108795.0,14422564.0,91270589.0,72624911.28477642,211326435.9514972,6832713.31940949,0.0031303724490965,3.1303724490965336e-07,False,True,False,unknown
2,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 4,"(3, 41, 512, 512)",15005195.0,114410632.0,13182857.0,119022366.0,76785284.97700126,200993206.88457072,6287928.189375045,0.0015288061473596,1.528806147359624e-07,False,True,False,unknown
3,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device1/P 3,"(3, 42, 512, 512)",18832157.0,134287948.0,18135117.0,139589283.0,91637529.06986378,192313818.1664098,7375253.939654122,0.0004156964313882,4.1569643138826354e-08,False,True,False,unknown
5,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 1,"(3, 39, 512, 512)",51458024.0,115178690.0,31348719.0,110135419.0,95609557.48729864,169823223.62487015,11152006.926780012,0.010796567394344,1.079656739434409e-06,False,False,False,unknown
6,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 2,"(3, 32, 512, 512)",22314743.0,91915426.0,16485045.0,93420286.0,45868991.51138087,170180946.6031751,3507674.684077103,0.0102119778616926,1.02119778616927e-06,False,False,False,unknown
7,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 3,"(3, 33, 512, 512)",38309743.0,121442967.0,29688453.0,124020778.0,78400884.06474799,146908337.1118604,7016700.5010731,0.0053152380274356,5.315238027435606e-07,False,False,False,unknown
8,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device1/P 4,"(3, 31, 512, 512)",33967004.0,230072607.0,22262465.0,199486725.0,160996544.82809305,48880537.91176134,11534695.54910813,0.0007774249619876,7.774249619876272e-08,False,False,False,unknown
11,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device1/P 1,"(3, 37, 512, 512)",15079872.0,46531415.0,11517134.0,40070662.0,42113424.17271167,207887218.5027031,4082613.216376278,0.0176486365848669,1.7648636584866949e-06,False,False,False,unknown
12,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device1/P 2,"(3, 33, 512, 512)",20393265.0,45974952.0,15101377.0,41127001.0,57858651.16026993,167450570.01633847,8639999.641612396,0.0109466163609583,1.094661636095833e-06,False,False,False,unknown
13,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device1/P 3,"(3, 33, 512, 512)",16777069.0,42711776.0,17863535.0,49203565.0,42408663.66203056,182900557.51457784,4299604.242343767,-0.0040963851014605,-4.09638510146054e-07,False,False,False,unknown
16,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device2/P 1,"(3, 31, 512, 512)",15876575.0,180379625.0,13154750.0,188844359.0,79951268.14486443,129925814.59498996,4746123.90926058,0.0011780615938438,1.1780615938438813e-07,True,False,False,unknown
17,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device2/P 3,"(3, 47, 512, 512)",15459199.0,138366981.0,12742479.0,138361721.0,84993616.2406974,232908435.556435,7099415.536728332,0.0019708284924498,1.9708284924498392e-07,True,False,False,unknown
18,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device2/P 2,"(3, 34, 512, 512)",13539622.0,120818882.0,12147343.0,129059980.0,63592874.09061937,167889202.46069062,4410118.869632102,0.0012593161881501,1.2593161881501368e-07,True,False,False,unknown
19,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device2/P 4,"(3, 45, 512, 512)",15228029.0,138806842.0,12776112.0,144088683.0,92563007.61739571,212993333.4303335,7424560.657895789,0.0014879632675214,1.4879632675214829e-07,True,False,False,unknown
22,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device2/P 1,"(3, 43, 512, 512)",20501881.0,108821901.0,15856002.0,115097322.0,65580371.79653148,227630258.5017945,5414517.374080844,0.0054669248204655,5.466924820465584e-07,False,True,False,unknown
23,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device2/P 2,"(3, 39, 512, 512)",23822449.0,116726597.0,17699603.0,120809790.0,107873993.7832496,157558787.32891917,10617756.471785815,0.0024477053125338,2.447705312533822e-07,False,True,False,unknown
24,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device2/P 4,"(3, 45, 512, 512)",18981334.0,106434148.0,16296582.0,104065917.0,76039097.6618568,229517243.3858724,6901121.96751827,0.002825884986694,2.825884986694048e-07,False,True,False,unknown
25,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device2/P 3,"(3, 33, 512, 512)",33959873.0,118154894.0,29349172.0,130166290.0,93551052.07042456,131758169.10618384,9050710.817555998,0.0018493752570526,1.849375257052632e-07,False,True,False,unknown
27,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device2/P 1,"(3, 36, 512, 512)",19859260.0,82936547.0,11399609.0,94078094.0,51811669.3451595,192016117.95555368,4384687.075021984,0.0124467657726116,1.2446765772611675e-06,False,False,False,unknown
28,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device2/P 2,"(3, 32, 512, 512)",33585640.0,88988042.0,20780733.0,105522866.0,85975373.49132967,130074564.62322631,9045762.071881205,0.0060356181676874,6.03561816768742e-07,False,False,False,unknown
29,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device2/P 3,"(3, 36, 512, 512)",42979845.0,104615198.0,25109176.0,111084819.0,104142091.75697196,139685695.54374123,11069693.055802,0.0072858333521666,7.285833352166676e-07,False,False,False,unknown
30,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device2/P 4,"(3, 37, 512, 512)",15466843.0,47525855.0,9683282.0,45285651.0,37241560.51639606,212759082.1590187,3720419.695571974,0.0258053703267948,2.5805370326794858e-06,False,False,False,unknown
33,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device2/P 2,"(3, 32, 512, 512)",40310337.0,152341267.0,30852503.0,160554318.0,104074286.5161446,111975651.5984114,9098009.00059642,0.0024929890395483,2.4929890395483497e-07,False,False,False,unknown
34,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device2/P 1,"(3, 27, 512, 512)",19502334.0,106645828.0,18645428.0,106707121.0,44704257.83294892,137394975.72074828,3071705.989503878,0.0012090238260341,1.20902382603419e-07,False,False,False,unknown
35,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device2/P 4,"(3, 37, 512, 512)",13571943.0,83337644.0,12041734.0,85988516.0,61769973.93059487,188230668.7448199,5558933.295389507,0.0019463811700994,1.94638117009947e-07,False,False,False,unknown
36,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device2/P 3,"(3, 32, 512, 512)",31634489.0,95674154.0,25471800.0,97623131.0,63869817.11453701,152180121.00001898,7049596.1095037125,0.0051217348686038,5.121734868603845e-07,False,False,False,unknown
38,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device3_unbonded/P 4,"(3, 23, 512, 512)",48232925.0,146617279.0,25588557.0,128670641.0,50023501.85755049,107384310.1973403,3028722.598678869,0.0216349475649633,2.1634947564963348e-06,True,False,False,unknown
39,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device3_unbonded/P 3,"(3, 22, 512, 512)",30003567.0,109871737.0,20221427.0,103658198.0,46660072.27734576,101488456.71549264,3024177.334169551,0.0109290717993924,1.0929071799392425e-06,True,False,False,unknown
40,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device3_unbonded/P 2,"(3, 18, 512, 512)",27462998.0,107482700.0,18036092.0,99933621.0,39917389.146859534,83539718.34717247,2039083.158188079,0.0130994766901703,1.30994766901704e-06,True,False,False,unknown
41,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device3_unbonded/P 1,"(3, 18, 512, 512)",36881605.0,151688285.0,20718717.0,138642052.0,44225441.45268012,79231666.04135188,2130959.879808734,0.0141559892666077,1.4155989266607744e-06,True,False,False,unknown
43,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device3_unbonded/P 2,"(3, 28, 512, 512)",27739542.0,135377446.0,26742846.0,147782199.0,60670620.09281485,130687896.52293476,3282546.4538917853,0.0009106638730556,9.106638730556396e-08,False,True,False,unknown
44,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device3_unbonded/P 1,"(3, 33, 512, 512)",32726236.0,70187022.0,29409605.0,69219180.0,43812263.93638296,181496957.24022543,3841951.7605350353,0.0109326275967781,1.0932627596778177e-06,False,True,False,unknown
45,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device3_unbonded/P 3,"(3, 26, 512, 512)",31928973.0,97978065.0,28169916.0,95345283.0,48604218.89856845,127322159.28042711,3371562.379844889,0.0058700142908709,5.870014290870909e-07,False,True,False,unknown
46,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device3_unbonded/P 4,"(3, 33, 512, 512)",45962796.0,97929373.0,40420914.0,91193560.0,46654950.67988788,178654270.4967205,4253708.419028716,0.0127341705348775,1.2734170534877538e-06,False,True,False,unknown
48,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device3_unbonded/P 1,"(3, 26, 512, 512)",111643601.0,130963375.0,36808418.0,110042743.0,41074363.89948748,134852014.2795081,3005478.3962670024,0.127359829366437,1.27359829366437e-05,False,False,False,unknown
49,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device3_unbonded/P 2,"(3, 14, 512, 512)",88169594.0,80578960.0,30232296.0,58970389.0,19549161.04428942,76130097.26358537,1645933.217565601,0.2590251687050979,2.5902516870509792e-05,False,False,False,unknown
50,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device3_unbonded/P 4,"(3, 31, 512, 512)",135418081.0,141706806.0,48290020.0,152033308.0,47144445.88520102,162732636.85465336,3865051.8200179497,0.0982233813522494,9.822338135224947e-06,False,False,False,unknown
51,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device3_unbonded/P 3,"(3, 27, 512, 512)",114244007.0,122430937.0,43330941.0,102660261.0,35467921.882265255,146631311.67143196,3072131.2485503075,0.1584679154784483,1.5846791547844838e-05,False,False,False,unknown
53,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device3/P 3,"(3, 33, 512, 512)",22971892.0,100082917.0,14803136.0,110122950.0,73156332.9465206,152152888.2300878,6000401.805301967,0.0060362901153823,6.036290115382391e-07,False,False,False,unknown
54,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device3/P 2,"(3, 31, 512, 512)",13010357.0,70501045.0,9050227.0,73050230.0,53794504.63131686,156082578.10853752,4056721.622383836,0.0066131164586459,6.613116458645907e-07,False,False,False,unknown
55,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device3/P 4,"(3, 43, 512, 512)",29233028.0,115080280.0,24302699.0,124516798.0,104356975.14824486,188853655.1500811,11554598.94204082,0.0022336498454684,2.2336498454684946e-07,False,False,False,unknown
56,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device3/P 1,"(3, 34, 512, 512)",16650575.0,138311993.0,12691160.0,138292486.0,74131732.35203275,157350344.19927722,4369677.167256684,0.0031532081746205,3.153208174620588e-07,False,False,False,unknown
58,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device4/P 1,"(3, 31, 512, 512)",11891606.0,54336350.0,7272285.0,57117058.0,57383060.79771024,152494021.94214416,5590573.856179711,0.0070218645708108,7.021864570810809e-07,True,False,False,unknown
59,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device4/P 3,"(3, 31, 512, 512)",14023636.0,116129149.0,10894920.0,143961830.0,72352124.40776138,137524958.332093,3954059.370200122,0.0022716002424878,2.2716002424878042e-07,True,False,False,unknown
60,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device4/P 2,"(3, 30, 512, 512)",13193037.0,160606408.0,7069713.0,151636775.0,86336428.45142908,117367798.91372368,4301685.312643711,0.0032101528169609,3.21015281696099e-07,True,False,False,unknown
62,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device4/P 2,"(3, 35, 512, 512)",24615799.0,94263815.0,14109105.0,113287520.0,85362912.85187845,152292019.07413316,7894704.068111217,0.0056765923697605,5.676592369760555e-07,False,True,False,unknown
63,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device4/P 1,"(3, 30, 512, 512)",19180938.0,68896364.0,6970449.0,84354541.0,52005100.8960456,151699126.46910718,4122677.376764097,0.0161280772432528,1.612807724325288e-06,False,True,False,unknown
64,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device4/P 4,"(3, 36, 512, 512)",15241271.0,98693415.0,5797990.0,105987638.0,73712926.96542555,170114860.33528763,5048059.183320668,0.0088229816599373,8.822981659937361e-07,False,True,False,unknown
65,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device4/P 3,"(3, 34, 512, 512)",21353310.0,88174551.0,11381979.0,97994996.0,66893490.51579475,164588586.03551522,5837010.678845621,0.009017303598387,9.017303598387024e-07,False,True,False,unknown
68,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device4/P 2,"(3, 34, 512, 512)",16461952.0,87734342.0,12570344.0,92038861.0,54672699.64921469,176809376.9020953,4623854.908437163,0.0052015475617503,5.20154756175039e-07,False,False,False,unknown
69,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device4/P 3,"(3, 37, 512, 512)",23614193.0,86531394.0,19739314.0,89440236.0,64492544.4964785,185508098.17893627,7572859.677061098,0.003782858401371,3.782858401371004e-07,False,False,False,unknown
70,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device4/P 1,"(3, 33, 512, 512)",12498618.0,49049773.0,10935984.0,54195486.0,39231754.4195906,186077466.7570178,4187893.847841808,0.0044583213970646,4.4583213970646613e-07,False,False,False,unknown
71,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device4/P 4,"(3, 32, 512, 512)",11113013.0,54880088.0,8803224.0,61863037.0,41061636.43545998,174988301.679096,4000027.069961431,0.0052899330882429,5.289933088242937e-07,False,False,False,unknown
74,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device4/P 4,"(3, 36, 512, 512)",12834697.0,80770030.0,11427595.0,86187149.0,63682001.66017368,180145785.6405395,5542375.744812411,0.0016993565859383,1.6993565859383473e-07,False,False,False,unknown
75,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device4/P 3,"(3, 32, 512, 512)",16011515.0,80879055.0,13258525.0,80164875.0,47862847.062413104,168187091.0521429,4144495.852861554,0.0046382669969659,4.6382669969659924e-07,False,False,False,unknown
76,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device4/P 1,"(3, 32, 512, 512)",12059827.0,105886168.0,10737230.0,112007643.0,66225551.79077682,149824386.32377917,5245011.084259106,0.0010362834172745,1.0362834172745435e-07,False,False,False,unknown
77,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device4/P 2,"(3, 30, 512, 512)",14478442.0,75703867.0,10541456.0,67670542.0,44834099.15884653,158870128.20630625,3732753.933259367,0.0081473613415,8.147361341500067e-07,False,False,False,unknown
80,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device5/P 4,"(3, 37, 512, 512)",9011567.0,90886106.0,6607738.0,98891445.0,81097422.7870009,168903219.88841388,6409891.445123521,0.0019066162583889,1.9066162583889585e-07,True,False,False,unknown
81,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device5/P 1,"(3, 36, 512, 512)",10623378.0,77868716.0,7682563.0,79543764.0,59731166.05980591,184096621.24090728,5104121.09215666,0.004100110691459,4.10011069145907e-07,True,False,False,unknown
82,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device5/P 3,"(3, 36, 512, 512)",10725301.0,88890736.0,8979011.0,97156652.0,72573966.10730462,171253821.19340855,5252134.636545854,0.0017937413113033,1.793741311303377e-07,True,False,False,unknown
83,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device5/P 2,"(3, 36, 512, 512)",10844302.0,78648271.0,8456033.0,84174917.0,68782170.82523799,175045616.4754752,5859347.896428039,0.0026174505831295,2.617450583129508e-07,True,False,False,unknown
86,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device5/P 4,"(3, 32, 512, 512)",17028501.0,66572317.0,7624042.0,92701705.0,60904482.82915002,155145455.28540596,5189914.304168858,0.0091789844954193,9.178984495419356e-07,False,True,False,unknown
87,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device5/P 3,"(3, 37, 512, 512)",35530077.0,80249850.0,27885531.0,102510516.0,73627802.48353948,176372840.19187528,7606032.213713791,0.0065983977141474,6.598397714147482e-07,False,True,False,unknown
88,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device5/P 2,"(3, 35, 512, 512)",34612012.0,87320907.0,26976154.0,99328673.0,65268707.873985626,172386224.05202597,5669015.675673692,0.00891449171775,8.914491717750005e-07,False,True,False,unknown
89,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device5/P 1,"(3, 35, 512, 512)",20380191.0,85062958.0,12414204.0,89739200.0,55079224.97571024,182575706.95030132,4556339.332008979,0.0114668496113413,1.146684961134136e-06,False,True,False,unknown
92,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device5/P 4,"(3, 29, 512, 512)",22446608.0,64789073.0,8975826.0,55603521.0,47940106.654409856,149591265.33604133,3616965.943013625,0.0331900706118492,3.3190070611849263e-06,False,False,False,unknown
93,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device5/P 3,"(3, 34, 512, 512)",31031020.0,104516787.0,22411288.0,125770341.0,130959871.00862888,100522205.5426811,14490267.505623909,0.0016070461422119,1.607046142211912e-07,False,False,False,unknown
94,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device5/P 2,"(3, 34, 512, 512)",23947083.0,108686039.0,16216231.0,109742193.0,139671107.8213267,91810968.72998329,11939202.249206562,0.0017656797450367,1.7656797450367597e-07,False,False,False,unknown
95,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device5/P 1,"(3, 36, 512, 512)",16220612.0,54232706.0,9888595.0,58813799.0,51253580.05527259,192574207.2454406,5215068.746820495,0.0132753202635193,1.3275320263519309e-06,False,False,False,unknown
98,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device5/P 2,"(3, 39, 512, 512)",20140821.0,62959988.0,14173018.0,59039728.0,70110407.08734243,195322374.02482635,7740862.589497838,0.0093228863292729,9.322886329272938e-07,False,False,False,unknown
99,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device5/P 3,"(3, 32, 512, 512)",31119205.0,142373007.0,20611073.0,126692419.0,146700565.08809224,69349373.02646375,16062757.93894463,0.0011879725935398,1.187972593539887e-07,False,False,False,unknown
100,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device5/P 1,"(3, 36, 512, 512)",27596837.0,52661013.0,19416485.0,52505493.0,61318354.99889549,182509432.3018177,8871026.149163298,0.0141285371679436,1.4128537167943698e-06,False,False,False,unknown
101,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device5/P 4,"(3, 35, 512, 512)",17542056.0,24044935.0,12882606.0,25333884.0,62518221.65850975,175136710.26750183,12379995.990237642,0.0147053345397459,1.470533453974591e-06,False,False,False,unknown
104,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device6/P 2,"(3, 38, 512, 512)",13596473.0,91542753.0,10068165.0,101595861.0,70598489.43818444,188661436.29928276,6041865.012480849,0.0033436712955905,3.343671295590543e-07,True,False,False,unknown
105,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device6/P 3,"(3, 35, 512, 512)",14566428.0,112393840.0,11057302.0,126094205.0,73607469.15294234,164047462.77306926,5056884.750586459,0.002748816457532,2.748816457532009e-07,True,False,False,unknown
106,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device6/P 1,"(3, 31, 512, 512)",9993143.0,63266697.0,6884756.0,63625757.0,48679971.445795976,161197111.2940584,4107692.122828561,0.0059716584429153,5.971658442915358e-07,True,False,False,unknown
107,m4_2024.10.24_fl2_fl6__Bead_24.10.24_device6/P 4,"(3, 36, 512, 512)",6998403.0,75019776.0,4847828.0,82863328.0,68582934.79723297,175244852.5034802,8509871.459602809,0.001576861195785,1.5768611957850257e-07,True,False,False,unknown
110,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device6/P 4,"(3, 39, 512, 512)",19417497.0,72662071.0,11746677.0,82223340.0,49766986.35452806,215665794.75764072,4075313.4071933473,0.0159997875333735,1.599978753337356e-06,False,True,False,unknown
111,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device6/P 3,"(3, 39, 512, 512)",23425807.0,88207671.0,11833996.0,97063345.0,57884836.06313503,207547945.04903376,5060149.341243818,0.0154958257039787,1.5495825703978705e-06,False,True,False,unknown
112,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device6/P 1,"(3, 46, 512, 512)",31081505.0,86983071.0,20942684.0,98336935.0,63768103.36640231,247961093.0560285,7161211.737774342,0.0126000793636549,1.2600079363654998e-06,False,True,False,unknown
113,m4_2024.10.24_fl2_fl6__rLN2_24.10.24_device6/P 2,"(3, 42, 512, 512)",21026156.0,124054235.0,10479393.0,125744539.0,74152725.01471642,209798622.2215572,6006623.5282579735,0.0088775044840458,8.877504484045831e-07,False,True,False,unknown
116,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device6/P 1,"(3, 15, 512, 512)",8573957.0,4324460.0,3927825.0,12172502.0,16019791.706449484,85832321.97612691,2199665.4660388976,0.0610814899627653,6.10814899627653e-06,False,False,False,unknown
117,m4_2024.10.24_fl2_fl6__FL2_24.10.24_device6/P 2,"(3, 13, 512, 512)",6450780.0,3005603.0,2861469.0,6150442.0,12046162.053947346,77460240.87922585,2303699.327787333,0.1019298367099178,1.0192983670991788e-05,False,False,False,unknown
119,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device6/P 4,"(3, 33, 512, 512)",25308233.0,73376047.0,15205621.0,82448627.0,54219467.70866077,171089753.4679476,4534128.7743567135,0.0157475937843723,1.5747593784372392e-06,False,False,False,unknown
120,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device6/P 1,"(3, 39, 512, 512)",28312875.0,87795030.0,17696538.0,90473343.0,71053722.92257248,194379058.1895963,7380418.729578128,0.0106720458156045,1.0672045815604592e-06,False,False,False,unknown
121,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device6/P 2,"(3, 37, 512, 512)",28154769.0,64262319.0,16909393.0,64154391.0,59435161.27431516,190565481.4010996,6449082.067677006,0.019537184513327,1.9537184513327037e-06,False,False,False,unknown
122,m4_2024.10.24_fl2_fl6__FL6_24.10.24_device6/P 3,"(3, 33, 512, 512)",19962139.0,42625279.0,13610753.0,48764121.0,50491921.983669154,174817299.19293922,6593442.731781304,0.0133067266034831,1.3306726603483151e-06,False,False,False,unknown
0,m4_2024.11.14_mcl1_mcl3__Bead_device1/P 2,"(3, 40, 512, 512)",7376360.0,56020223.0,6157506.0,60105222.0,54572916.80219055,217032719.68467987,5406202.2809600495,0.0025194691494633,2.519469149463349e-07,True,False,True,unknown
1,m4_2024.11.14_mcl1_mcl3__Bead_device1/P 1,"(3, 39, 512, 512)",6301590.0,59344391.0,4799711.0,56698389.0,50544338.88454839,214888442.2276204,4805314.033399583,0.0035947395649467,3.594739564946735e-07,True,False,True,unknown
2,m4_2024.11.14_mcl1_mcl3__Bead_device1/P 3,"(3, 37, 512, 512)",8769933.0,84881833.0,6562915.0,82285828.0,52649562.68926811,197351079.98614663,4272804.568143904,0.0037394053061342,3.7394053061342586e-07,True,False,True,unknown
3,m4_2024.11.14_mcl1_mcl3__Bead_device1/P 4,"(3, 36, 512, 512)",7336932.0,84594401.0,5371284.0,78238631.0,57648606.795560695,186179180.5051525,4827027.751676781,0.0028901581560239,2.8901581560239177e-07,True,False,True,unknown
5,m4_2024.11.14_mcl1_mcl3__rLN3_device1/P 1,"(3, 43, 512, 512)",16308693.0,35184499.0,8712551.0,31645117.0,47749818.70472203,245460811.5936039,6305658.979209695,0.0358170330812854,3.5817033081285462e-06,False,True,True,unknown
6,m4_2024.11.14_mcl1_mcl3__rLN3_device1/P 2,"(3, 33, 512, 512)",10803249.0,46503817.0,7325068.0,48529742.0,41158275.68128584,184150945.49532253,3971065.068718906,0.010873519679141,1.0873519679141094e-06,False,True,True,unknown
7,m4_2024.11.14_mcl1_mcl3__rLN3_device1/P 3,"(3, 36, 512, 512)",16439652.0,37363548.0,14766080.0,40916731.0,38785704.48926496,205042082.81144825,4440322.655678127,0.0082089549290257,8.208954929025786e-07,False,True,True,unknown
8,m4_2024.11.14_mcl1_mcl3__rLN3_device1/P 4,"(3, 39, 512, 512)",15189580.0,47399462.0,10410494.0,48970608.0,43455894.94361283,221976886.168556,4695664.297618188,0.0162747658874445,1.6274765887444546e-06,False,True,True,unknown
10,m4_2024.11.14_mcl1_mcl3__MCL1_device1/P 1,"(3, 26, 512, 512)",10398791.0,41042737.0,6188819.0,41534975.0,31270295.927151386,144656082.2518442,3380548.5151375206,0.0141574176004933,1.4157417600493332e-06,False,False,True,unknown
11,m4_2024.11.14_mcl1_mcl3__MCL1_device1/P 2,"(3, 23, 512, 512)",21778225.0,42760388.0,10261459.0,45185593.0,29390775.62419601,128017036.43069476,3027627.130277932,0.0387318086027284,3.8731808602728455e-06,False,False,True,unknown
12,m4_2024.11.14_mcl1_mcl3__MCL1_device1/P 4,"(3, 24, 512, 512)",14768493.0,53195703.0,8752465.0,46671989.0,31675019.86419623,131905647.56539616,2728737.66290989,0.0213032604115853,2.1303260411585367e-06,False,False,True,unknown
13,m4_2024.11.14_mcl1_mcl3__MCL1_device1/P 3,"(3, 23, 512, 512)",18427822.0,59619623.0,11006934.0,56876097.0,40181534.06402611,117226277.99086466,3943622.568812548,0.0133586383797285,1.3358638379728544e-06,False,False,True,unknown
15,m4_2024.11.14_mcl1_mcl3__MCL3_device1/P 1,"(3, 30, 512, 512)",18630012.0,55239275.0,17645543.0,53266700.0,41429449.54944633,162274777.81570643,5551858.646531417,0.0022439033442391,2.243903344239153e-07,False,False,True,unknown
16,m4_2024.11.14_mcl1_mcl3__MCL3_device1/P 2,"(3, 22, 512, 512)",9721948.0,58551744.0,9033520.0,58663559.0,29972542.00026176,118175986.99257664,2439335.665474875,0.0018666765902967,1.8666765902967317e-07,False,False,True,unknown
17,m4_2024.11.14_mcl1_mcl3__MCL3_device1/P 3,"(3, 26, 512, 512)",11923295.0,48797049.0,10988286.0,46230784.0,32437160.661077306,143489217.5179183,3007193.4375107074,0.0035164505052719,3.516450505271915e-07,False,False,True,unknown
18,m4_2024.11.14_mcl1_mcl3__MCL3_device1/P 4,"(3, 27, 512, 512)",27886324.0,67103787.0,26263446.0,68581524.0,71913550.83234552,110185682.72135168,11499556.56681082,0.0010207079808173,1.0207079808173649e-07,False,False,True,unknown
20,m4_2024.11.14_mcl1_mcl3__Bead_device2/P 3,"(3, 31, 512, 512)",10693325.0,46105512.0,5286803.0,51218599.0,35582998.87893947,174294083.86091492,3438481.552198182,0.0165736435319186,1.657364353191869e-06,True,False,True,unknown
21,m4_2024.11.14_mcl1_mcl3__Bead_device2/P 2,"(3, 24, 512, 512)",10436040.0,43295413.0,4550748.0,50496270.0,30835242.714126103,132745424.71546628,2763994.75296563,0.0170885286794788,1.708852867947883e-06,True,False,True,unknown
22,m4_2024.11.14_mcl1_mcl3__Bead_device2/P 1,"(3, 26, 512, 512)",10005863.0,60953624.0,4599593.0,70930872.0,40171208.45259954,135755169.72639602,3394389.904334672,0.0090546466960111,9.054646696011128e-07,True,False,True,unknown
