,filename,image_shape,final_gel_intensity,final_vascular_intensity,initial_gel_intensity,initial_vascular_intensity,vascular_volume_um3,gel_volume_um3,vasculature_surface_area_um2,p_um/s,p_cm/s,bead,rln,mcl,ligand
7,m4_2025.02.27_fl32_fl33__FL32_1/P 1,"(3, 31, 512, 512)",12564981.0,69295088.0,11415429.0,74194499.0,52795957.960052565,157081124.77980185,4063902.173629738,0.0019660384181707,1.9660384181707335e-07,False,False,False,unknown
8,m4_2025.02.27_fl32_fl33__FL32_1/P 3,"(3, 24, 512, 512)",10443751.0,51598864.0,9316230.0,51311281.0,29648174.161262907,133932493.2683295,2360239.038317034,0.0042320811814029,4.2320811814029803e-07,False,False,False,unknown
9,m4_2025.02.27_fl32_fl33__FL32_1/P 4,"(3, 30, 512, 512)",10207052.0,49664344.0,7726989.0,45210723.0,29901086.885383934,173803140.47976884,2212893.1956240674,0.014434924983622,1.443492498362208e-06,False,False,False,unknown
11,m4_2025.02.27_fl32_fl33__FL33_1/P 3,"(3, 16, 512, 512)",11319417.0,33360209.0,3917792.0,19053865.0,24616775.687581256,83408193.36969674,2297847.9759663893,0.0493058880543724,4.930588805437244e-06,False,False,False,unknown
12,m4_2025.02.27_fl32_fl33__FL33_1/P 4,"(3, 15, 512, 512)",11406668.0,28295066.0,5650596.0,21574760.0,20478760.41736217,81373353.26521422,2000010.17455118,0.0408523536807401,4.08523536807401e-06,False,False,False,unknown
13,m4_2025.02.27_fl32_fl33__FL33_1/P 2,"(3, 17, 512, 512)",14823850.0,26803176.0,7796952.0,22313002.0,29786692.768370766,84411131.66360883,4381969.9631976895,0.0259025797623151,2.5902579762315195e-06,False,False,False,unknown
14,m4_2025.02.27_fl32_fl33__FL33_1/P 1,"(3, 12, 512, 512)",8355685.0,26664636.0,3485585.0,19347422.0,15209837.559507636,65037282.31161316,1197119.3751281698,0.0463347496560413,4.633474965604135e-06,False,False,False,unknown
17,m4_2025.02.27_fl32_fl33__Bead_2/P 3,"(3, 14, 512, 512)",4181179.0,35803575.0,4170234.0,39096395.0,20982902.21402612,74696356.09384868,1458159.1797010652,4.459199404913141e-05,4.459199404913141e-09,True,False,False,unknown
18,m4_2025.02.27_fl32_fl33__Bead_2/P 2,"(3, 15, 512, 512)",5188529.0,56196174.0,4842185.0,62218153.0,30568695.94435859,71283417.7382178,1782057.5590971918,0.0006707210380455,6.707210380455379e-08,True,False,False,unknown
19,m4_2025.02.27_fl32_fl33__Bead_2/P 1,"(3, 16, 512, 512)",7179394.0,68828973.0,4605590.0,58686963.0,35301852.6129702,72723116.4443078,2139648.510568699,0.0044931954233143,4.493195423314394e-07,True,False,False,unknown
20,m4_2025.02.27_fl32_fl33__Bead_2/P 4,"(3, 23, 512, 512)",8491873.0,62617557.0,7322085.0,64968727.0,36888134.9704408,120519677.08444998,2615625.764561868,0.0025972454841879,2.597245484187933e-07,True,False,False,unknown
21,m4_2025.02.27_fl32_fl33__rLN1_2/P 1,"(3, 18, 512, 512)",5593515.0,41683353.0,4950517.0,44681508.0,25713810.08927116,97743297.40476084,1832869.9322431835,0.0023973589402374,2.397358940237448e-07,False,True,False,unknown
22,m4_2025.02.27_fl32_fl33__rLN1_2/P 2,"(3, 25, 512, 512)",7752953.0,51052508.0,6789000.0,52495039.0,34695290.64093598,135058232.163358,2828444.2207388096,0.0027973912678077,2.797391267807793e-07,False,True,False,unknown
23,m4_2025.02.27_fl32_fl33__rLN1_2/P 3,"(3, 21, 512, 512)",6928056.0,56407009.0,6330531.0,57387881.0,32860581.372290213,109115092.24584658,2414120.804377067,0.0014693360534106,1.4693360534106682e-07,False,True,False,unknown
24,m4_2025.02.27_fl32_fl33__rLN1_2/P 4,"(3, 20, 512, 512)",6427378.0,39149799.0,5577058.0,38588308.0,26981175.87124405,108821642.37219116,2242705.360894706,0.0034718502020402,3.47185020204023e-07,False,True,False,unknown
26,m4_2025.02.27_fl32_fl33__FL32_2/P 3,"(3, 30, 512, 512)",11760194.0,54603807.0,9371244.0,54050989.0,41537521.14270116,162166706.22245163,3480804.646191974,0.0069195192115326,6.919519211532625e-07,False,False,False,unknown
27,m4_2025.02.27_fl32_fl33__FL32_2/P 4,"(3, 26, 512, 512)",8432791.0,36565790.0,8035076.0,43617395.0,24904479.953054063,151021898.2259415,2129245.128745065,0.0022021631122583,2.2021631122583606e-07,False,False,False,unknown
28,m4_2025.02.27_fl32_fl33__FL32_2/P 1,"(3, 32, 512, 512)",8600400.0,25732943.0,7639984.0,27472084.0,25715505.514636524,190334432.59991947,2733370.763764566,0.0093671397385496,9.367139738549626e-07,False,False,False,unknown
29,m4_2025.02.27_fl32_fl33__FL32_2/P 2,"(3, 23, 512, 512)",8011719.0,38585660.0,5352465.0,33361693.0,24669910.78948332,132737901.26540747,2048492.7343706428,0.0170890019895584,1.7089001989558423e-06,False,False,False,unknown
31,m4_2025.02.27_fl32_fl33__FL33_2/P 2,"(3, 28, 512, 512)",16233410.0,63190415.0,10250838.0,60974824.0,42547194.04292567,148811322.57282394,3245182.8731820863,0.0150234217922124,1.5023421792212471e-06,False,False,False,unknown
32,m4_2025.02.27_fl32_fl33__FL33_2/P 3,"(3, 21, 512, 512)",13725761.0,44361210.0,8646005.0,48030344.0,27400546.399639696,114575127.2184971,1921533.729025536,0.0213628468111642,2.1362846811164243e-06,False,False,False,unknown
33,m4_2025.02.27_fl32_fl33__FL33_2/P 4,"(3, 23, 512, 512)",17677594.0,71964928.0,10974054.0,77035314.0,43053843.65627589,114353968.39861488,2649515.779907817,0.0121657694376482,1.2165769437648242e-06,False,False,False,unknown
34,m4_2025.02.27_fl32_fl33__FL33_2/P 1,"(3, 26, 512, 512)",10453093.0,77597673.0,7907415.0,83297243.0,53757899.92672712,122168478.25226846,3741484.018695836,0.0030626931406152,3.062693140615224e-07,False,False,False,unknown
36,m4_2025.02.27_fl32_fl33__Bead_3/P 1,"(3, 23, 512, 512)",8619347.0,53836668.0,7692435.0,58766054.0,35138856.30214987,122268955.75274092,2662929.240131978,0.0023147065903661,2.314706590366124e-07,True,False,False,unknown
37,m4_2025.02.27_fl32_fl33__Bead_3/P 2,"(3, 23, 512, 512)",8007758.0,51778151.0,6830384.0,53630437.0,31835520.13211755,125572291.92277324,2252915.132717274,0.0038950638763219,3.895063876321955e-07,True,False,False,unknown
38,m4_2025.02.27_fl32_fl33__Bead_3/P 3,"(3, 17, 512, 512)",5738901.0,44038932.0,4564989.0,44102925.0,27960625.459573463,86237198.97240613,1993533.6536866631,0.003567714698796,3.5677146987960895e-07,True,False,False,unknown
39,m4_2025.02.27_fl32_fl33__Bead_3/P 4,"(3, 21, 512, 512)",8074688.0,54398969.0,6565248.0,54674829.0,32294638.96630122,109681034.65183558,2393139.503602487,0.003994342508193,3.994342508193004e-07,True,False,False,unknown
41,m4_2025.02.27_fl32_fl33__rLN1_3/P 3,"(3, 18, 512, 512)",6933690.0,45378209.0,6047179.0,51454283.0,29626722.320876125,93830385.17315587,1818953.357776748,0.0027975622571934,2.797562257193495e-07,False,True,False,unknown
42,m4_2025.02.27_fl32_fl33__rLN1_3/P 4,"(3, 15, 512, 512)",4976975.0,33753694.0,4429502.0,32761776.0,20751865.18663321,81100248.49594317,1591107.8295857937,0.0027359070834876,2.735907083487674e-07,False,True,False,unknown
43,m4_2025.02.27_fl32_fl33__rLN1_3/P 1,"(3, 18, 512, 512)",6520242.0,44621083.0,5810438.0,45169967.0,24926367.42356945,98530740.07046255,2015672.916115544,0.0024487121342414,2.448712134241473e-07,False,True,False,unknown
44,m4_2025.02.27_fl32_fl33__rLN1_3/P 2,"(3, 22, 512, 512)",9923767.0,47672604.0,7385163.0,50193774.0,33949432.991834775,114199096.0010036,2695509.358791033,0.0069788384418748,6.978838441874854e-07,False,True,False,unknown
46,m4_2025.02.27_fl32_fl33__FL32_3/P 1,"(3, 21, 512, 512)",8253305.0,45248223.0,6615778.0,46433128.0,29392518.14471042,112583155.47342636,2131374.0617752853,0.006034306378047,6.034306378047032e-07,False,False,False,unknown
47,m4_2025.02.27_fl32_fl33__FL32_3/P 2,"(3, 20, 512, 512)",7448257.0,43074724.0,6033504.0,41723850.0,24184736.5640944,111618081.6793408,1925468.0497430367,0.006383011137676,6.383011137676064e-07,False,False,False,unknown
48,m4_2025.02.27_fl32_fl33__FL32_3/P 4,"(3, 23, 512, 512)",8065818.0,45967828.0,5738583.0,38149344.0,30570991.832874198,126836820.2220166,2398881.194352169,0.0105459356407446,1.0545935640744662e-06,False,False,False,unknown
49,m4_2025.02.27_fl32_fl33__FL32_3/P 3,"(3, 22, 512, 512)",6991551.0,44771849.0,5987892.0,45303384.0,31960404.69357892,116188124.29925944,2532975.440560863,0.0032527503288297,3.252750328829735e-07,False,False,False,unknown
51,m4_2025.02.27_fl32_fl33__FL33_3/P 1,"(3, 24, 512, 512)",8943737.0,48103607.0,8279689.0,54598908.0,30190286.4218387,133390381.0077537,2471466.030737671,0.00214934242738,2.149342427380056e-07,False,False,False,unknown
52,m4_2025.02.27_fl32_fl33__FL33_3/P 2,"(3, 18, 512, 512)",7621934.0,30253425.0,6043200.0,29200077.0,16687106.420742651,106770001.07328932,1336116.6065263157,0.0151332204199248,1.5133220419924856e-06,False,False,False,unknown
