,gap_area_pct,n_nuclei_fov,n_cells_assumed,mean_cell_area_assumed_um2,total_cell_area_um2,monolayer_area_um2,total_gap_um2,n_gaps,filename,treatment
0,5.847352099392164,121,121,2598.280039397639,314391.8847671143,333917.19912009465,19525.314352980367,309,Dorota_to_analzye_size_spaces_Fulv_TNF,FULV_TNF
1,7.158959135842075,105,105,2964.5462392423115,311277.3551204427,335279.9066265251,24002.551506082396,240,Dorota_to_analzye_size_spaces_Fulv_E2P4_TNF,E2P4_TNF_FULV
2,22.00074460525543,291,291,489.34954340112483,142400.71712972733,182566.76478391356,40166.04765418623,563,Dorota_to_analzye_size_spaces_ctrl,NONE
3,0.19326502408893437,253,253,1333.095699805137,337273.2120506996,337926.30540624587,653.093355546227,25,Dorota_to_analzye_size_spaces_E2P4,E2P4
4,3.592732986160479,201,201,1604.802927493433,322565.38842618,334586.17635107826,12020.787924898259,156,Dorota_to_analzye_size_spaces_Fulv_TNF_2,FULV_TNF
5,2.683833060532264,128,128,2570.2889631918106,328996.98728855175,338070.22783089406,9073.24054234228,144,Dorota_to_analzye_size_spaces_Fulv_E2P4_TNF_2,E2P4_TNF_FULV
6,7.592526712875348,137,137,2238.0632971232794,306614.6717058893,331807.2238088244,25192.552102935082,468,Dorota_to_analzye_size_spaces_Fulv_E2P4_TNF_3,E2P4_TNF_FULV
7,2.7322640351418954,147,147,2211.407450393858,325076.8952078972,334208.34975057334,9131.454542676154,174,Dorota_to_analzye_size_spaces_Fulv_TNF_3,FULV_TNF
8,1.7092864043269462,224,224,228.16009309229756,51107.860852674654,51996.63221788281,888.7713652081557,85,Dorota_to_analzye_size_spaces_E2P4_TNF24h,E2P4_TNF
9,7.724090618140694,176,176,1738.9032060194322,306046.96425942006,331665.0752179814,25618.11095856138,397,Dorota_to_analzye_size_spaces_TNF24h,TNF
10,4.500020704662235,191,191,1684.256042306051,321692.9040804558,336851.28149149305,15158.377411037258,158,Dorota_to_analzye_size_spaces_TNF24h_000,TNF
11,6.8878589046783505,194,194,1587.2915737864291,307934.56531456724,330713.6552679264,22779.089953359136,260,Dorota_to_analzye_size_spaces_E2P4_TNF24h_000,E2P4_TNF
12,2.2865702044641663,277,277,1189.63907706502,329530.02434701053,337241.2830422063,7711.258695195754,303,Dorota_to_analzye_size_spaces_E2P4_000,E2P4
13,16.756671127551677,276,276,839.7002628652153,231757.27255079942,278409.42414246226,46652.151591662856,791,Dorota_to_analzye_size_spaces_ctrl_000,NONE
14,2.285855300762835,125,125,2640.9166657170326,330114.5832146291,337837.04931432125,7722.466099692166,59,Dorota_to_analzye_size_spaces_Fulv,FULV
15,5.230025130084863,69,69,4620.031942953074,318782.2040637621,336374.68459956296,17592.48053580084,195,Dorota_to_analzye_size_spaces_FulvTNF,FULV_TNF
16,4.83822250217105,82,82,3918.795136758205,321341.2012141728,337678.8555904223,16337.654376249491,153,Dorota_to_analzye_size_spaces_FulvE2P4,E2P4
17,5.317638543943923,47,47,6553.101331507367,307995.76258084626,325293.70607617666,17297.943495330423,198,Dorota_to_analzye_size_spaces_FulvE2P4TNF,E2P4_TNF_FULV
18,10.826822862033952,52,52,5107.858329156492,265608.6331161376,297857.09295206104,32248.459835923462,184,Dorota_to_analzye_size_spaces_FulvE2P4TNF2,E2P4_TNF_FULV
19,5.382665752919993,75,75,4246.493626570895,318487.0219928171,336605.36362304667,18118.341630229545,228,Dorota_to_analzye_size_spaces_FulvE2P4TNF3,E2P4_TNF_FULV
20,5.83321184861475,125,125,2529.0870873028052,316135.8859128507,335719.0917509276,19583.205838076938,160,Dorota_to_analzye_size_spaces_TNF,TNF
21,9.734650097597743,133,133,2236.8577767262823,297502.08430459554,329586.1419983019,32084.05769370633,191,Dorota_to_analzye_size_spaces_TNF2,TNF
22,5.121928332564228,116,116,2733.8581003341355,317127.53963875974,334247.4547230968,17119.915084337088,117,Dorota_to_analzye_size_spaces_TNF3,TNF
23,4.734231201868582,101,101,3165.4782728105624,319713.3055538668,335601.45431811997,15888.148764253168,208,Dorota_to_analzye_size_spaces_TNFE2P4,E2P4_TNF
24,5.573799088117956,103,103,2983.172008610818,307266.7168869143,325404.08691614494,18137.370029230646,189,Dorota_to_analzye_size_spaces_TNFE2P42,E2P4_TNF
25,9.559314666250904,98,98,3040.115837606642,297931.3520854509,329421.8204848941,31490.4683994432,177,Dorota_to_analzye_size_spaces_TNFE2P43,E2P4_TNF
26,2.619187189563296,169,169,1925.9288422837544,325481.9743459545,334236.24731860036,8754.272972645877,80,Dorota_to_analzye_size_spaces_E2P4_001,E2P4
27,4.777554795656307,156,156,2056.833173153854,320865.97501200123,336964.64559740643,16098.67058540517,116,Dorota_to_analzye_size_spaces_ctrl_001,NONE
28,11.178465818460053,77,77,3846.0036290298817,296142.2794353009,333412.70466013753,37270.42522483665,266,Dorota_to_analzye_size_spaces_FulvTNF2,FULV_TNF
29,6.009585857423897,79,79,3936.060667372613,310948.7927224364,330830.32515502215,19881.532432585704,205,Dorota_to_analzye_size_spaces_FulvTNF3,FULV_TNF
30,1.0627195001079,137,137,2439.195687443176,334169.8091797152,337759.242513321,3589.4333336057944,48,Dorota_to_analzye_size_spaces_Fulv2,FULV
31,8.414137959618452,129,129,1153.2538607446634,148769.7480360616,162437.4600202669,13667.711984205325,347,Dorota_to_analzye_size_spaces_Fulv3,FULV
